"year","roc_year","district_code","district","status","people"
"2024","113","11","三峽區","離婚","1890"
"2024","113","12","淡水區","喪偶","6"
"2024","113","12","淡水區","有偶","2005"
"2024","113","12","淡水區","未婚","7557"
"2024","113","12","淡水區","離婚","549"
"2024","113","13","汐止區","喪偶","58"
"2024","113","13","汐止區","有偶","16815"
"2024","113","13","汐止區","未婚","55873"
"2024","113","13","汐止區","離婚","2523"
"2024","113","14","瑞芳區","喪偶","33"
"2024","113","14","瑞芳區","有偶","12660"
"2024","113","14","瑞芳區","未婚","49068"
"2024","113","14","瑞芳區","離婚","2043"
"2024","113","15","五股區","喪偶","17"
"2024","113","15","五股區","有偶","7594"
"2024","113","15","五股區","未婚","22388"
"2024","113","15","五股區","離婚","1211"
"2024","113","16","泰山區","喪偶","18"
"2024","113","16","泰山區","有偶","4999"
