"year","roc_year","month","district_code","district","total_population","youth_population","male_youth","female_youth","age_15_19","age_20_24","age_25_29","age_30_34","age_35_39"
"2022","111","12","9","樹林區","180067","59357","30841","28516","8855","10959","12900","13007","13636"
"2022","111","12","10","鶯歌區","88406","29972","15771","14201","4232","5622","6405","6624","7089"
"2022","111","12","11","三峽區","115274","37459","19435","18024","5723","7377","8405","7870","8084"
"2022","111","12","12","淡水區","187823","56130","28788","27342","7682","10186","12560","12685","13017"
"2022","111","12","13","汐止區","206265","62887","32615","30272","8214","12015","14687","14149","13822"
"2022","111","12","14","瑞芳區","37695","11074","5812","5262","1466","2130","2499","2598","2381"
"2022","111","12","15","五股區","91436","31664","16466","15198","4210","5721","7251","7367","7115"
"2022","111","12","16","泰山區","76982","24479","12657","11822","4083","4465","5273","5097","5561"
"2022","111","12","17","林口區","127887","39242","19598","19644","6097","6761","7946","8672","9766"
"2022","111","12","18","八里區","40902","13486","6950","6536","1831","2632","3157","2949","2917"
"2022","111","12","19","深坑區","23528","7397","4007","3390","1004","1476","1809","1677","1431"
"2022","111","12","20","石碇區","7292","1992","1049","943","326","444","457","372","393"
"2022","111","12","21","坪林區","6553","1640","863","777","225","361","397","345","312"
"2022","111","12","22","三芝區","22228","6584","3489","3095","914","1352","1635","1382","1301"
"2022","111","12","23","石門區","10961","3439","1813","1626","479","705","842","716","697"
"2022","111","12","24","金山區","20577","6279","3080","3199","856","1253","1509","1340","1321"
"2022","111","12","25","萬里區","21101","5947","3002","2945","876","1158","1348","1328","1237"
"2022","111","12","26","平溪區","4268","831","444","387","131","160","175","185","180"
